Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#2,Drawing_#
BCXH1_PWR,LINAC,STATE,HTR,59.923885,479,L2KG01-51,1,L2KA00-0517,11,12,MISSING
BLRDG0_PWR,LINAC,STATE,DIAG0,113.792552,155,L2KG01-51,1,L2KA00-0517,13,14,MISSING
BYDG0_PWR,LINAC,STATE,DIAG0,166.954918,508,L2KG01-51,1,L2KA00-0517,15,16,MISSING
BCX11_PWR,LINAC,STATE,BC1B,400.840617,192,L2KG02-51,37,L2KG02-2209,10,11,MISSING
BCX21_PWR,LINAC,STATE,BC2B,1094.474252,172,L2KG04-51,61,L2KG04-1923,9,10,MISSING
BRB1_PWR,LINAC,STATE,DOG,2190.102648,105,L2KG08-5125,102,L2KG08-3A33,4,5,MISSING
BLXSPH_PWR,HXU,STATE,SPH,9197.427831,177,B136-1421,206,B136-0628,16,17,MISSING
BYSP1H_PWR,HXU,STATE,SPH,9303.579419,284,B136-1421,206,B136-0628,18,19,MISSING
BYSP2H_PWR,HXU,STATE,SPH,9338.355558,320,B136-1421,206,B136-0628,20,21,MISSING
BRSP1H_PWR,HXU,STATE,SPH,9390.467917,373,B136-1421,206,B136-0628,22,23,MISSING
BLXSPS1S_PWR,SXU,STATE,SPS,9483.43833,213,B136-1721,201,B136-0528,16,17,MISSING
BYSP1S_PWR,SXU,STATE,SPS,9548.260236,310,B136-1721,201,B136-0528,18,19,MISSING
BYSP2S_PWR,SXU,STATE,SPS,9588.940049,371,B136-1721,201,B136-0528,20,21,MISSING
(SECT 30) BYSP1D_PWR,LINAC,STATE,SPD,9738.277569,725,B136-1321,189,L2KG30-7D13,9,10,MISSING
BYDB_PWR,SXU,STATE,DMPS,10659.10446,400,B911-3022,254,B911-0634,8,9,MISSING
BYD_PWR,HXU,STATE,DMPH,10684.384,400,B911-1430,241,B911-0620,10,11,MISSING
BY1B_PWR,SXU,STATE,LTUS,11057.83963,525,B911-3022,254,B911-0634,10,11,MISSING
BYDSH_PWR,HXU,STATE,DMPH,12252.81177,395,B921-1134,316,B921-1524,27,28,MISSING
BYDSS_PWR,SXU,STATE,DMPS,12252.81177,395,B921-5132,306,B921-1433,16,17,MISSING
BLRCUS_PWR,CLTS,STATE,CLTS,10094.43956,280,B136-2231,200,B136-0521,2,3,
BRCUSDC_PWR,CLTS,STATE,CLTS,10034.74887,180,B136-3028,200,B136-0521,6,7,
BCXHS_PWR,HXU,STATE,UNDH,11888.46093,2810,B913-1337R-J4,294,B913-10725,11,12,
BCXSS_PWR,SXU,STATE,UNDS,11967.0641,3510,B913-1335R-J4,272,B913-10233,8,9,
BRCUS1_PWR,CLTS,STATE,CLTS,10423.72047,765,B136-2232,200,B136-0521,8,9,
